cos2_sigma0,emp_ratio_d2
0.014288534737294613,0.09521157460667667
0.17182013300331997,0.19096550359247666
0.16860059085398665,0.07286043869304815
0.15702020430348176,0.09791048148238422
0.002500667937013223,0.009087247260274402
0.2175981404184349,0.26936554909530686
0.019613994416609607,0.040253684575404
0.31901312024637957,0.4420057579209279
0.34533905790725417,0.4236645870273523
0.0013911205032530545,0.033622130068678695
0.10121560733688321,0.19420470670049966
0.017224395720280113,0.004504117856641005
0.2793327165492419,0.3577250211158994
0.15636257346015175,0.23331277938200526
0.05857309940093867,0.16929157749737683
0.10519180581682493,0.06093819310561455
0.10817506214994947,0.12725457917543245
0.3214265298705344,0.18744047726970128
0.29292404076705386,0.39322628405131943
0.5260513301946939,0.5725823043819145
0.1608603403677362,0.12258606567916498
0.09697128536393064,0.07754073546842559
0.2970520417877982,0.3520351405525052
0.02970908347381378,0.04196452092682258
0.1025816331963099,0.06861022868760437
0.2710901706808866,0.2513197854755391
0.29888488851234457,0.3605634073661725
0.0025378625540685086,0.01161403907322143
0.1044340305678668,0.26457525626313705
0.14765878288961157,0.10638494468584687
0.0018493997466424298,0.012334507335080624
0.02456586729913887,0.02782036627971082
0.08660149799107487,0.014082646857501858
0.19191379633193714,0.169071455856937
0.03642337187706043,0.029157981823177866
0.18986692038502695,0.2969394521551071
0.024572843178115533,0.003077866548587536
0.1287416589560827,0.07964081948040487
0.15228388093836587,0.05957831975348349
0.2846778006757592,0.28308983732054144
0.26710227192738795,0.3698831065816441
0.08300127333397865,0.009176431230538386
0.021587616535312742,6.795478963019391e-05
0.39230993628981164,0.44679791911376476
0.2675101366371427,0.23402306430160125
0.004537815865639372,0.0012110938582080065
0.03240435703254433,0.00011942357629623523
0.08073936063952027,0.060041277195435054
0.01358385090783638,0.0012893361404501067
0.04568107250955395,0.02509400819693767
0.223158472639423,0.32353109476855124
0.09828943945552879,0.18068616119976422
0.07989734894796183,0.051060213249141805
0.02770764840481806,0.06821141045355247
0.02648145994989505,0.002968657271944273
0.16589592530678685,0.045089919046402645
0.09394056049605745,0.030393335557586488
0.008723116872292163,0.001332312917176399
0.12699569322807064,0.12097200544152518
0.32300934461591435,0.21747518696074786
0.037245414136199084,0.05927689549074494
0.24289858361327368,0.18054706154053068
0.18045499234103501,0.26093017281053316
0.09861356084357167,0.031146472583548815
0.0028998435949253226,7.689501759675806e-05
0.1795391324677253,0.20192854776074223
0.02292336886761794,0.00036057890941964594
0.019985859228978147,0.007702019696448541
0.5038043652195096,0.38389738489482583
0.0002996089520329181,0.009737392795298963
0.09664720888820465,0.009306282598848723
0.07838481162568191,0.06946061127903418
0.4724801523407875,0.3999777315387549
0.30103632356376303,0.20962908554307988
0.29161088151954234,0.3214644653347161
9.898054712487946e-05,0.0003781992901571504
0.003966976648063664,0.04318996232675127
0.410878492517578,0.465359524997595
0.005637670563144021,0.03785456550867132
0.019254261840248508,0.046136072389666744
0.000941553662884195,0.01920749799446579
0.006886406054634799,0.014313861779821947
0.40040323034871733,0.346026611367358
0.3627375488570166,0.41624520946886817
0.00037842292175081695,0.029555735685394522
0.005220525868059037,0.07873587159097703
0.15580627487129084,0.0565074879127883
0.015705241080507318,0.0020556973606904523
0.008425244743855292,0.007444332340046593
0.060952261781542075,0.11142890081928751
0.15088975904360727,0.04632988677942481
0.5601324943236128,0.37090791177835924
0.01765835068478205,0.1058245411671338
0.002461169742954673,0.008517778739634019
0.028543728160521933,0.08048724367704485
0.02701772164468933,0.004717311680086038
0.38310542225970173,0.3090448005458601
0.19375839781753756,0.09462861384984021
0.017856307819627194,0.0003653252272918877
0.1561723519484889,0.05012144163801503
0.012440103164377343,0.09523920737883702
0.019906080260822325,0.00022043788842883303
0.42331921816046625,0.3749474440621511
0.22802796972387188,0.12460170905512753
0.06602797235281867,0.14666895968155233
0.44010033358685297,0.5145454396825627
0.0030855103098050597,0.009815411172225397
0.01331805897977756,8.49250265536507e-05
0.11450506968246466,0.09698202365900044
0.006446157194158004,0.00033028221465684427
0.5898648845359845,0.6214591693650254
0.35380360073426437,0.13890767104369448
0.3607402005471161,0.42499797859125027
0.24562566957618606,0.19909033015519623
0.3554959947064427,0.3918626231538884
0.12291140590402001,0.1346584404699841
0.10204665705584588,0.11621361300046876
0.16467276378972154,0.0759797121433348
0.516569514341223,0.46413547987494685
0.08380550883121171,0.037122342172290435
0.2194719637449201,0.10057972141274972
0.0969659019789745,0.01865236444553364
0.08272136347567025,0.041356164941522444
0.2221556926889054,0.10051951974426876
0.1303025144115781,0.02994749129644754
0.09848267614887458,0.2376581474404401
0.37521494196849015,0.361965904220917
0.22425168586601144,0.40405167555040505
0.028279070453470747,0.09166968873652585
0.10544859341441741,0.03406795105279195
0.19969499691128315,0.06469015007727735
0.0361611723429957,0.014662459581042824
0.14073259257991858,0.05070127849554413
0.0015805516037599731,0.008732610800890118
0.18558492694565468,0.23523518865108517
0.0038733969335708034,1.0694916528973534e-05
0.28512979850030845,0.26971266933330607
0.0013079922828327629,7.040392931912855e-05
0.14478325028813596,0.054591568386599364
0.49129491942305176,0.40420821219513664
0.18885557600699596,0.1923321798904528
0.41450512120691846,0.42094227220244806
0.005998927818241287,0.00033614953505476357
0.0227638548158775,0.04923009852068407
0.29730640910551226,0.2255855117117314
0.1979209457193935,0.16646980370322245
0.1055440747783107,0.19996787159736965
0.007766604338269699,0.001103289659717093
0.006029713870013526,0.002030960870872029
0.11386671843725163,0.05792134774740892
0.3657428614436473,0.3184192995832586
0.0029184280343807186,0.06512735384730374
0.09043859781075564,0.12309644783965609
0.3379002259104443,0.3027024081123838
0.06927248879396894,0.06745004019373099
0.10520081580459051,0.0466260472817576
0.11511947149548571,0.21623294389282882
0.3939399830415653,0.34523097499808986
0.02113207535143399,0.021202516440291502
0.22954372059377945,0.11750645452066844
0.03185448347907616,0.0033488960206844802
0.25132805747140086,0.17847700217370063
0.39462438709995024,0.49410986393593603
0.5813067888920936,0.5521840535531053
0.007881250061246979,0.0007152364997145386
0.3109859172503378,0.1890487222015585
0.6814064514791913,0.5081454194532719
0.34103001053909654,0.2926688876281913
0.3433933175210712,0.3437394791722361
0.03481550793949265,0.09767652418109607
0.0009798737084384904,0.004166998629127057
0.006188477783369385,0.04107897955072857
0.4508920771477303,0.41191993847629815
0.020024800328392895,0.016458330833431824
0.3682473782256872,0.22948925217866503
0.0327917295410193,0.05442853964160623
0.18938734925574852,0.07608809727321895
0.010198786484269494,0.0032976077023003604
0.33276702880537395,0.16593450680759325
0.07072022253391595,0.1503615838903107
0.10298679258695133,0.217691601555904
0.07771703216882137,0.1747601953796744
0.251486450211498,0.417674142072381
0.08982868543779768,0.13273097363754693
0.030320805880675445,0.09585685386761324
0.07101533707944065,0.10729036414150878
0.02085445640817783,0.0010468382965158878
0.06520133962758644,0.06215979381693857
0.02640259153364086,0.12672056335281923
0.6120200400627784,0.5788749936848012
0.4774813774575798,0.32492400265353627
0.09988325218006053,0.17414810273891246
0.33480562432947003,0.2242322807402741
0.07836725399462427,0.1627977981520582
0.30018914096991284,0.3678726004106891
0.16097536495729034,0.1827255642880837
0.06786604921520419,0.01990227917303292
0.04542637592198702,0.02898131244173131
0.24911840856904294,0.16796981862495736
0.06639133631157938,0.01847772862905718
0.25237591378950747,0.14036703413651697
0.23584506813439388,0.13656821344857847
0.062024461819170686,0.07699061918905198
0.02083974052567279,0.022514827933540225
0.18505406922789028,0.1768085853647118
0.20099162009169466,0.180223293481955
0.151932771072594,0.29959530683343355
0.5061571794709274,0.4602890071901152
0.22623401168308235,0.1537467050059867
0.029353169206814262,0.007665578566214539
0.17076607218378576,0.14920826368945775
0.20799466891745336,0.2689313084821301
0.0448948027711201,0.0015400987650408598
0.35796134958505665,0.2765934993903137
0.19450025351940747,0.16221973326729494
0.44794913466595804,0.31417049665419455
0.0015928019153321734,0.009213259864997436
0.36974966739201026,0.3641243513393934
0.4151751025798521,0.42313636145468764
0.0004961399981573436,0.010955407404855025
0.10893416119307528,0.2776466786025923
0.3420805125516116,0.37810743880341763
0.06246737789925534,0.01615044141238952
0.10431239098938389,0.2065786620837974
0.0024132674972835422,0.044807418530319075
0.012672226091660143,0.00019871008929064037
0.3120531033281581,0.43556271644741323
0.03641176742765305,0.004088478083110904
0.014372936084172552,0.07484020768787407
0.1218486279938036,0.28300488538470386
0.09936313895403211,0.14454165513677047
0.41562772596303477,0.45262519862236034
0.2642999633569745,0.24349416217272413
0.24215482337425764,0.29221161016209823
0.3391151722527989,0.2769609596627785
0.001354411091159047,0.0082712136882416
0.22790344158637307,0.09292238200548131
0.1278508563948164,0.04982530643648901
0.09401990069312638,0.06997080844607181
0.31438920710508833,0.1678996460431183
0.34022831977890733,0.23597264912697524
0.12289270020527111,0.18387709399820795
0.2444796959355604,0.25966514477077346
0.04268981650792697,0.0946500056424557
0.4251435355675975,0.4062237542280376
0.4467096687836081,0.3002354317952566
0.12375721854482306,0.24843746970538597
0.0003313396929445168,0.0317166726917623
0.2038239731438566,0.12862331685034747
