,0
n_train,29450.0
n_test,12622.0
n_pos_test,541.0
pi1_overall,0.042855105533371365
d_star2_train,0.5473215300441553
d2_best_train,0.2513553025796812
amp_factor,2.1774815348112697
misspec_slope,0.9136311531171136
misspec_r2,0.7975892790008073
misspec_violation_rate,0.485
ushape_c_hat,1.5397155913056817
ushape_c_ci_lo,0.7733126864803859
ushape_c_ci_hi,2.4853888790183682
ushape_p_c_positive,1.0
ushape_rho_star,0.38124745345209393
xgb_auc_on_fisher_only,0.6577842324629147
auc_best_singleton,0.6259052994260399
auc_fisher,0.6751785276861162
auc_logistic,0.6752300896857487
auc_rf,0.7592746190570397
auc_xgb,0.745103178315318
pr_best_singleton,0.08807054222917896
pr_fisher,0.10095557104143721
pr_xgb,0.14900925457446434
tpr_best_singleton,0.14972273567467653
tpr_fisher,0.16820702402957485
tpr_xgb,0.2532347504621072
econ_extra_fisher_5fpr,13.0
econ_rmb_fisher_5fpr,39000000.0
econ_extra_fisher_1fpr,5.999999999999997
econ_rmb_fisher_1fpr,17999999.999999993
