cos2_bin,cos2_lower,cos2_upper,cos2_mean,emp_ratio_mean,emp_ratio_std,n
Q1,1.5560084831404487e-07,0.028179817421897718,0.009878696024366668,0.024570796504551823,0.02945306166932191,250
Q2,0.028179817421897718,0.11237974900943407,0.06623493112984005,0.07427560911296012,0.06008978596326772,250
Q3,0.11237974900943407,0.25134693173533257,0.1758511809695499,0.1629127907718822,0.08928386156049695,250
Q4,0.25134693173533257,0.6814064514791913,0.3890092798379185,0.35511856624600147,0.11272293523054547,250
