fisher_quartile,n,n_pos,auc_fisher_within,auc_xgb_within,gap
Q1,3156,73,0.5329091482677876,0.7670344220848755,0.23412527381708792
Q2,3155,78,0.4928668449955418,0.7353941151471213,0.2425272701515795
Q3,3155,114,0.5706398518492878,0.6455748051483526,0.07493495329906485
Q4,3156,276,0.62223606078905,0.6706282709339775,0.04839221014492745
