rho0,rho1,sigma_eps,n_pos,n_neg,seed,d2_fisher,d2_best_single,amp_analytical,auc_r,auc_c,auc_opt,auc_fix,amp_opt,amp_fix,tpr_fpr_opt,tpr_fpr_fix
-0.6,0.0,0.0,200000,200000,42,31.249999999999986,6.25,24.999999999999986,0.96143380155,0.961186101925,0.9985302177,0.99703561665,0.03709641614999992,0.035601815099999934,0.993475,0.986525
-0.6,0.0,0.0,200000,200000,2024,31.249999999999986,6.25,24.999999999999986,0.96132633765,0.96109055925,0.998518600775,0.99701907535,0.037192263125000014,0.03569273770000003,0.99355,0.9864
-0.6,0.0,0.0,200000,200000,7,31.249999999999986,6.25,24.999999999999986,0.9613024691,0.961652032875,0.99858444905,0.997081522075,0.03693241617499998,0.0354294892,0.99371,0.986775
-0.6,0.0,0.25,200000,200000,42,18.494887078998637,5.325443786982249,13.169443292016389,0.948593222675,0.932787164925,0.9941589247,0.99221352835,0.04556570202499999,0.04362030567499997,0.972375,0.96313
-0.6,0.0,0.25,200000,200000,2024,18.494887078998637,5.325443786982249,13.169443292016389,0.94851390875,0.93251905305,0.994152343225,0.992190192875,0.045638434475000045,0.04367628412500002,0.972955,0.96335
-0.6,0.0,0.25,200000,200000,7,18.494887078998637,5.325443786982249,13.169443292016389,0.94845265145,0.9333691102,0.994342403275,0.992315801925,0.04588975182499999,0.043863150475,0.97362,0.96318
-0.6,0.0,0.5,200000,200000,42,8.564988402713588,3.6885245901639343,4.8764638125496536,0.91263899545,0.865040156825,0.970115110875,0.9688349588,0.057476115424999974,0.05619596334999999,0.859045,0.852725
-0.6,0.0,0.5,200000,200000,2024,8.564988402713588,3.6885245901639343,4.8764638125496536,0.912669411625,0.86443171375,0.970124379325,0.9688434652,0.057454967699999915,0.05617405357499994,0.85856,0.85266
-0.6,0.0,0.5,200000,200000,7,8.564988402713588,3.6885245901639343,4.8764638125496536,0.91248490595,0.865696611275,0.9706138865,0.969175189925,0.05812898055000004,0.05669028397499998,0.860385,0.85336
-0.6,0.3,0.0,200000,200000,42,31.249999999999986,6.25,24.999999999999986,0.9618156275,0.9613431471,0.99662214185,0.99472914105,0.03480651434999993,0.03291351354999994,0.985515,0.976525
-0.6,0.3,0.0,200000,200000,2024,31.249999999999986,6.25,24.999999999999986,0.961372727375,0.9611760588,0.9965842466,0.99462389995,0.03521151922499999,0.03325117257499999,0.985405,0.976095
-0.6,0.3,0.0,200000,200000,7,31.249999999999986,6.25,24.999999999999986,0.961519677575,0.961559967525,0.99670418415,0.994720681275,0.035144216625,0.03316071375000007,0.985845,0.9766
-0.6,0.3,0.25,200000,200000,42,18.494887078998637,5.325443786982249,13.169443292016389,0.949046988675,0.9329753861,0.9907710713,0.9888416037,0.041724082624999936,0.039794615024999924,0.959285,0.949285
-0.6,0.3,0.25,200000,200000,2024,18.494887078998637,5.325443786982249,13.169443292016389,0.94854279105,0.9325625845,0.99067412175,0.988652495125,0.04213133070000008,0.04010970407500003,0.9587,0.94845
-0.6,0.3,0.25,200000,200000,7,18.494887078998637,5.325443786982249,13.169443292016389,0.948713817375,0.933274137825,0.9908432909,0.988807434975,0.04212947352499996,0.040093617599999964,0.95843,0.94858
-0.6,0.3,0.5,200000,200000,42,8.564988402713588,3.6885245901639343,4.8764638125496536,0.913246737925,0.865257729475,0.9652361149,0.9643140928,0.05198937697500006,0.051067354875000026,0.844975,0.839075
-0.6,0.3,0.5,200000,200000,2024,8.564988402713588,3.6885245901639343,4.8764638125496536,0.91264740825,0.864366956625,0.964877355625,0.963895499825,0.052229947374999974,0.05124809157499999,0.84291,0.838605
-0.6,0.3,0.5,200000,200000,7,8.564988402713588,3.6885245901639343,4.8764638125496536,0.9128258947,0.865627617175,0.96518804515,0.964182102575,0.05236215045000003,0.05135620787500006,0.843775,0.83804
-0.4,0.0,0.0,200000,200000,42,20.833333333333332,6.25,14.583333333333332,0.96143671255,0.9610985146,0.997315504975,0.99551099595,0.03587879242500003,0.03407428340000007,0.98771,0.97878
-0.4,0.0,0.0,200000,200000,2024,20.833333333333332,6.25,14.583333333333332,0.961326058925,0.9610091475,0.997304502225,0.9954926242,0.035978443299999996,0.03416656527499995,0.98779,0.97898
-0.4,0.0,0.0,200000,200000,7,20.833333333333332,6.25,14.583333333333332,0.96130259905,0.961704188175,0.997411991375,0.99556773995,0.0357078032,0.033863551775,0.98828,0.979155
-0.4,0.0,0.25,200000,200000,42,14.283776731404846,5.325443786982249,8.958332944422597,0.948605222725,0.9326967196,0.991880689925,0.989899523425,0.04327546719999997,0.04129430069999995,0.96039,0.950385
-0.4,0.0,0.25,200000,200000,2024,14.283776731404846,5.325443786982249,8.958332944422597,0.94851427225,0.932446286,0.9918712331,0.98987713625,0.04335696085000007,0.041362864,0.96071,0.951265
-0.4,0.0,0.25,200000,200000,7,14.283776731404846,5.325443786982249,8.958332944422597,0.948454432925,0.933411488475,0.99209820265,0.990016324175,0.04364376972500006,0.04156189124999998,0.96154,0.95072
-0.4,0.0,0.5,200000,200000,42,7.557579581873433,3.6885245901639343,3.8690549917094983,0.91267505795,0.8649398322,0.9666261796,0.965529676375,0.053951121649999934,0.052854618424999944,0.839165,0.832905
-0.4,0.0,0.5,200000,200000,2024,7.557579581873433,3.6885245901639343,3.8690549917094983,0.91267108625,0.864401652725,0.966645910275,0.9655479114,0.05397482402499998,0.05287682514999992,0.838465,0.833135
-0.4,0.0,0.5,200000,200000,7,7.557579581873433,3.6885245901639343,3.8690549917094983,0.912493004825,0.86571181915,0.96710867065,0.9658663748,0.05461566582499999,0.053373369975000085,0.83984,0.833845
-0.4,0.3,0.0,200000,200000,42,20.833333333333332,6.25,14.583333333333332,0.961818407875,0.961255164825,0.994814657975,0.99275708715,0.03299625010000007,0.030938679275000047,0.97627,0.966355
-0.4,0.3,0.0,200000,200000,2024,20.833333333333332,6.25,14.583333333333332,0.9613724866,0.961094181575,0.99475628345,0.992622851225,0.033383796850000036,0.03125036462500008,0.976105,0.96557
-0.4,0.3,0.0,200000,200000,7,20.833333333333332,6.25,14.583333333333332,0.961519928375,0.961611586425,0.9948894173,0.99273478975,0.033277830875000025,0.03112320332499996,0.976345,0.965935
-0.4,0.3,0.25,200000,200000,42,14.283776731404846,5.325443786982249,8.958332944422597,0.949059061975,0.9328856519,0.988073206275,0.986221957775,0.03901414429999994,0.037162895799999984,0.944195,0.93479
-0.4,0.3,0.25,200000,200000,2024,14.283776731404846,5.325443786982249,8.958332944422597,0.948542718875,0.9324894192,0.98794117965,0.98600427855,0.03939846077499998,0.03746155967499998,0.94376,0.93367
-0.4,0.3,0.25,200000,200000,7,14.283776731404846,5.325443786982249,8.958332944422597,0.948715644025,0.933317131525,0.988123864225,0.986168820875,0.03940822020000001,0.03745317685000005,0.943715,0.934265
-0.4,0.3,0.5,200000,200000,42,7.557579581873433,3.6885245901639343,3.8690549917094983,0.913282856375,0.86515834265,0.961736672825,0.960988186775,0.04845381645000002,0.04770533040000002,0.824825,0.819375
-0.4,0.3,0.5,200000,200000,2024,7.557579581873433,3.6885245901639343,3.8690549917094983,0.912650135125,0.864336406075,0.961362974325,0.960562692625,0.04871283919999991,0.04791255750000001,0.822485,0.818715
-0.4,0.3,0.5,200000,200000,7,7.557579581873433,3.6885245901639343,3.8690549917094983,0.9128344271,0.865642213475,0.961660669475,0.96083177375,0.048826242374999995,0.047997346649999995,0.82344,0.818185
